facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,Lotte Chemical,Daesan,EG,Utility,730,2005,2030,60833333.33333333,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,EG,Utility,218,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,EG,Utility,400,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Ulsan,EG,Utility,200,2014,2030,46666666.666666664,shaheen_ncc_h2_15c,1.5C
Unknown,Dongseo Petrochemical,Ulsan,AN,Utility,602,1972,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Taekwang Industrial,Ulsan,AN,Utility,290,1997,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,SBR,Utility,80,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,SBR,Utility,183,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,S-SBR,Utility,80,2012,2030,16000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Yeosu,S-SBR,Utility,123,2012,2030,24600000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Versalis Elastomers,Yeosu,S-SBR,Utility,100,2018,2030,30000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,SB-Latex,Utility,20,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,SB-Latex,Utility,85,1983,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Korea Trinseo,Ulsan,SB-Latex,Utility,43,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hansol Chemical,Jeonju,SB-Latex,Utility,60,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,BR,Utility,220,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Yeosu,BR,Utility,275,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,NBR,Utility,65,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,NBR,Utility,92,1987,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,NB-Latex,Utility,205,2008,2030,27333333.333333332,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,NB-Latex,Utility,946,2012,2030,189200000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hansol Chemical,Jeonju,NB-Latex,Utility,28,2021,2030,9800000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Polychem,Yeosu,EPDM,Utility,310,1987,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Versalis Elastomers,Yeosu,EPDM,Utility,96,2018,2030,28800000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte INEOS Chemical,Ulsan,Acetic Acid,Utility,710,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte INEOS Chemical,Ulsan,Vinyl Acetate,Utility,460,1996,2030,0.0,shaheen_ncc_h2_15c,1.5C
