year,scenario,technology,emissions_tco2,abatement_tco2
2049,shaheen_ncc_elec_20c,RDH,303819.66136537725,4588933.524744861
2049,shaheen_ncc_h2_15c,Baseline,1390500.5765900994,0.0
2049,shaheen_ncc_h2_15c,Heat_Pump,7844.613091498215,416496.9762507429
2049,shaheen_ncc_h2_15c,NCC-H2,222520.64045952912,44897760.43006003
2049,shaheen_ncc_h2_15c,RDH,303819.66136537725,4588933.524744861
2049,shaheen_ncc_h2_20c,Baseline,2724124.432903479,0.0
2049,shaheen_ncc_h2_20c,Heat_Pump,7844.613091498215,416496.9762507429
2049,shaheen_ncc_h2_20c,NCC-H2,215080.92181835437,43513097.677401625
2049,shaheen_ncc_h2_20c,RDH,303819.66136537725,4588933.524744861
2050,shaheen_ncc_elec_15c,Heat_Pump,0.0,424341.5893422411
2050,shaheen_ncc_elec_15c,NCC-Electricity,0.0,46187729.67216421
2050,shaheen_ncc_elec_15c,RDH,0.0,4892753.186110239
2050,shaheen_ncc_elec_20c,Heat_Pump,0.0,424341.5893422411
2050,shaheen_ncc_elec_20c,NCC-Electricity,0.0,46187729.67216421
