scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_20c,2034,Ulsan,22130929.276215024,20438402.499548037,-334931.7108337538,-0.3349317108337538,878834599.9999999,29978234.26136946,35663431.99999999,26365037.999999996,404641659.1041532,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2034,Other,432184.00829651015,445926.354980065,-88430.41918149975,-0.08843041918149974,127125599.99999999,14488051.988333564,5085023.999999999,3813767.9999999995,47812873.104369015,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2035,Daesan,19800108.505871844,14853272.341923438,3365180.971923302,3.365180971923302,1106311499.9999998,391815030.96637946,44252460.0,38064626.24999999,1593059648.6052887,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2035,Yeosu,25771247.357066404,20458060.34451125,2663966.121415365,2.663966121415365,951522075.0,323664115.7058469,38060883.0,32507469.75,1312380859.6396565,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2035,Ulsan,22130929.276215024,20112120.58432915,-206277.23584110005,-0.20627723584110005,864851749.9999999,16668656.600537892,35096389.99999999,25945552.499999996,392318608.9433217,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2035,Other,432184.00829651015,424800.32793772384,-74584.64605024856,-0.07458464605024856,125096999.99999999,12889945.753037918,5003879.999999999,3752909.9999999995,46356768.86907337,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2036,Daesan,19800108.505871844,14352628.896773435,3583855.2167058936,3.5838552167058935,1086717799.9999998,339905116.4147541,43468712.0,37381221.49999999,1542616886.8036635,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2036,Yeosu,25771247.357066404,19804885.183788937,2844852.062567071,2.844852062567071,934748290.0,280878488.6607275,37389931.6,31926573.699999996,1270847080.0445375,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2036,Ulsan,22130929.276215024,19457209.40198334,51957.28590674573,0.05195728590674573,850868899.9999999,3734367.94381563,34529348.0,25526066.999999993,380370847.7865994,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2036,Other,432184.00829651015,382396.28804698144,-46793.48990910404,-0.04679348990910404,123068399.99999999,11336184.05105273,4922735.999999999,3692051.9999999995,44945009.16708818,42223613.11603545,1519858.0606000854,0.0
