Company,Year,TechID,TechName,Category,DeploymentLevel,AbatementContribution_kt,AnnualCost_USD
SK Chemicals,2045,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,1106.1463112822266,66368778.676933594
SK Chemicals,2050,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,1106.1463112822266,66368778.676933594
SK Chemicals,2025,HP_002,High Temp Heat Pumps,Heat Pumps,0.0,0.0,0.0
SK Chemicals,2030,HP_002,High Temp Heat Pumps,Heat Pumps,0.024951808948176706,55.20070285568904,6624084.342682684
SK Chemicals,2035,HP_002,High Temp Heat Pumps,Heat Pumps,0.24960551554017732,552.2004405809313,66264052.86971176
SK Chemicals,2040,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,663.687786769336,79642534.41232032
SK Chemicals,2045,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,663.687786769336,79642534.41232032
SK Chemicals,2050,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,663.687786769336,79642534.41232032
SK Chemicals,2025,ES_001,Battery Storage,Energy Storage,0.0,0.0,0.0
SK Chemicals,2030,ES_001,Battery Storage,Energy Storage,0.033596322973215104,74.32489745893643,7432489.745893643
SK Chemicals,2035,ES_001,Battery Storage,Energy Storage,0.18336546070121554,405.6580559424313,40565805.59424313
SK Chemicals,2040,ES_001,Battery Storage,Energy Storage,0.2,442.4585245128907,44245852.451289065
SK Chemicals,2045,ES_001,Battery Storage,Energy Storage,0.2,442.4585245128907,44245852.451289065
SK Chemicals,2050,ES_001,Battery Storage,Energy Storage,0.2,442.4585245128907,44245852.451289065
Hanwha Solutions,2025,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2030,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2035,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2040,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2045,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2050,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0,0.0,0.0
Hanwha Solutions,2025,EE_BTX,EE - BTX Plant,Energy Efficiency,0.0009283205141724676,1.2314920958025817,49259.68383210326
Hanwha Solutions,2030,EE_BTX,EE - BTX Plant,Energy Efficiency,0.025806451612903226,34.23434115353159,1369373.6461412637
Hanwha Solutions,2035,EE_BTX,EE - BTX Plant,Energy Efficiency,0.05068458271163399,67.2371902112606,2689487.608450424
Hanwha Solutions,2040,EE_BTX,EE - BTX Plant,Energy Efficiency,0.05161290322580645,68.46868230706318,2738747.2922825273
Hanwha Solutions,2045,EE_BTX,EE - BTX Plant,Energy Efficiency,0.05161290322580645,68.46868230706318,2738747.2922825273
Hanwha Solutions,2050,EE_BTX,EE - BTX Plant,Energy Efficiency,0.05161290322580645,68.46868230706318,2738747.2922825273
Hanwha Solutions,2025,EE_UTL,EE - Utilities,Energy Efficiency,0.004670612586930228,6.19594460700674,185878.3382102022
Hanwha Solutions,2030,EE_UTL,EE - Utilities,Energy Efficiency,0.12983870967741934,172.24152892870578,5167245.867861173
Hanwha Solutions,2035,EE_UTL,EE - Utilities,Energy Efficiency,0.2550068067679085,338.28711325040484,10148613.397512145
Hanwha Solutions,2040,EE_UTL,EE - Utilities,Energy Efficiency,0.2596774193548387,344.48305785741155,10334491.735722346
Hanwha Solutions,2045,EE_UTL,EE - Utilities,Energy Efficiency,0.2596774193548387,344.48305785741155,10334491.735722346
Hanwha Solutions,2050,EE_UTL,EE - Utilities,Energy Efficiency,0.2596774193548387,344.48305785741155,10334491.735722346
Hanwha Solutions,2025,RE_001,Solar Thermal,Renewable Energy,0.0,0.0,0.0
Hanwha Solutions,2030,RE_001,Solar Thermal,Renewable Energy,0.07750637971809689,102.818468987724,8225477.519017921
Hanwha Solutions,2035,RE_001,Solar Thermal,Renewable Energy,0.24020856930080892,318.656056741018,25492484.53928144
Hanwha Solutions,2040,RE_001,Solar Thermal,Renewable Energy,0.25,331.64517992483724,26531614.39398698
Hanwha Solutions,2045,RE_001,Solar Thermal,Renewable Energy,0.25,331.64517992483724,26531614.39398698
Hanwha Solutions,2050,RE_001,Solar Thermal,Renewable Energy,0.25,331.64517992483724,26531614.39398698
Hanwha Solutions,2025,RE_002,Solar PV,Renewable Energy,0.0071944839848366235,9.544063742470009,429482.86841115035
Hanwha Solutions,2030,RE_002,Solar PV,Renewable Energy,0.2,265.3161439398698,11939226.47729414
Hanwha Solutions,2035,RE_002,Solar PV,Renewable Energy,0.3928055160151634,521.0882241372695,23448970.08617713
