company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Hanwha TotalEnergies,Daesan,L-LDPE,Polymers,Utility,530,2004,21,9,212.0,63.599999999999994,0.007893447711066509,5.388383145482441,1.6652747557529741,30.904906180421143,False,0.0
DL Chemical,Yeosu,L-LDPE,Polymers,Utility,10,2010,15,15,4.0,2.0,0.007893447711066499,0.10166760651853651,0.03142027841043344,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,L-LDPE,Polymers,Utility,600,2019,6,24,240.0,192.0,0.007893447711066507,6.100056391112197,1.8852167046260084,30.904906180421143,False,0.0
LG Chem,Yeosu,L-LDPE,Polymers,Utility,425,2021,4,26,170.0,147.33333333333334,0.007893447711066509,4.320873277037807,1.3353618324434229,30.904906180421143,False,0.0
Hanwha Solutions,Yeosu,L-LDPE,Polymers,Utility,288,1986,39,0,115.2,0.0,0.007893447711066507,2.9280270677338547,0.9049040182204839,30.904906180421143,False,0.0
SSNC,Ulsan,L-LDPE,Polymers,Utility,180,2015,10,20,72.0,48.0,0.007893447711066509,1.8300169173336593,0.5655650113878026,30.904906180421143,False,0.0
SK Geocentric,Ulsan,L-LDPE,Polymers,Utility,550,1990,35,0,220.0,0.0,0.007893447711066509,5.591718358519515,1.7281153125738413,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,HDPE,Polymers,Utility,575,2021,4,26,230.0,199.33333333333334,0.006840988016257644,5.066435724840411,1.565777207453269,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,HDPE,Polymers,Utility,180,1991,34,0,72.0,0.0,0.006840988016257642,1.5860146616891717,0.49015634320276236,30.904906180421143,False,0.0
DL Chemical,Yeosu,HDPE,Polymers,Utility,630,1980,45,0,252.0,0.0,0.006840988016257643,5.551051315912102,1.7155472012096684,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,HDPE,Polymers,Utility,360,1992,33,0,144.0,0.0,0.006840988016257642,3.1720293233783434,0.9803126864055247,30.904906180421143,False,0.0
LG Chem,Yeosu,HDPE,Polymers,Utility,500,1992,33,0,200.0,0.0,0.006840988016257643,4.405596282469922,1.3615453977854513,30.904906180421143,False,0.0
GS Caltex,Yeosu,HDPE,Polymers,Utility,650,2021,4,26,260.0,225.33333333333334,0.006840988016257643,5.727275167210899,1.7700090171210865,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,HDPE,Polymers,Utility,210,1976,49,0,84.0,0.0,0.006840988016257643,1.8503504386373673,0.5718490670698895,30.904906180421143,False,0.0
SK Geocentric,Ulsan,HDPE,Polymers,Utility,490,1990,35,0,196.0,0.0,0.006840988016257642,4.317484356820524,1.334314489829742,30.904906180421143,False,0.0
Lotte Chemical,Daesan,PP,Polymers,Utility,500,2005,20,10,200.0,66.66666666666666,0.006413426265241539,4.130246514815551,1.27644881042386,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,PP,Polymers,Utility,380,2021,4,26,152.0,131.73333333333335,0.006413426265241538,3.1389873512598183,0.9701010959221336,30.904906180421143,False,0.0
LG Chem,Daesan,PP,Polymers,Utility,1117,2006,19,11,446.8,163.82666666666665,0.006413426265241539,9.226970714097941,2.8515866424869034,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,PP,Polymers,Utility,600,1991,34,0,240.0,0.0,0.006413426265241538,4.956295817778661,1.5317385725086319,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,PP,Polymers,Utility,180,1979,46,0,72.0,0.0,0.006413426265241539,1.4868887453335984,0.4595215717525896,30.904906180421143,False,0.0
GS Caltex,Yeosu,PP,Polymers,Utility,730,1987,38,0,292.0,0.0,0.006413426265241539,6.0301599116307045,1.8636152632188359,30.904906180421143,False,0.0
Poly Mirae,Yeosu,PP,Polymers,Utility,405,1993,32,0,162.0,0.0,0.006413426265241538,3.345499677000596,1.0339235364433266,30.904906180421143,False,0.0
S-Oil,Onsan,PP,Polymers,Utility,550,2018,7,23,220.0,168.66666666666669,0.006413426265241539,4.543271166297106,1.4040936914662459,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,PP,Polymers,Utility,432,1976,49,0,172.8,0.0,0.006413426265241539,3.568532988800636,1.102851772206215,30.904906180421143,False,0.0
SK Geocentric,Ulsan,PP,Polymers,Utility,400,1990,35,0,160.0,0.0,0.006413426265241538,3.3041972118524403,1.0211590483390878,30.904906180421143,False,0.0
Ulsan PP,Ulsan,PP,Polymers,Utility,600,2021,4,26,240.0,208.0,0.006413426265241538,4.956295817778661,1.5317385725086319,30.904906180421143,False,0.0
Hyosung Chemical,Ulsan,PP,Polymers,Utility,0,1991,34,0,0.0,0.0,,0.0,0.0,30.904906180421143,False,0.0
LG Chem,Yeosu,PS,Polymers,Utility,40,1984,41,0,16.0,0.0,0.010261482024386457,0.5286715538963903,0.163385447734254,30.904906180421143,False,0.0
Kumho Petrochemical,Ulsan,PS,Polymers,Utility,265,1973,52,0,106.0,0.0,0.010261482024386457,3.502449044563586,1.0824285912394331,30.904906180421143,False,0.0
HDC Hyundai EP,Ulsan,PS,Polymers,Utility,148,1989,36,0,59.2,0.0,0.010261482024386459,1.9560847494166445,0.6045261566167399,30.904906180421143,False,0.0
Korea INEOS Styrolution,Ulsan,PS,Polymers,Utility,266,1985,40,0,106.4,0.0,0.010261482024386459,3.515665833410996,1.0865132274327893,30.904906180421143,False,0.0
SH Energy Chemical,Gunsan,EPS,Polymers,Utility,100,1973,52,0,40.0,0.0,0.005130741012193226,0.6608394423704875,0.20423180966781743,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,EPS,Polymers,Utility,90,1989,36,0,36.0,0.0,0.005130741012193226,0.5947554981334388,0.18380862870103568,30.904906180421143,False,0.0
LG Chem,Yeosu,EPS,Polymers,Utility,90,1984,41,0,36.0,0.0,0.005130741012193226,0.5947554981334388,0.18380862870103568,30.904906180421143,False,0.0
Kumho Petrochemical,Ulsan,EPS,Polymers,Utility,80,1973,52,0,32.0,0.0,0.005130741012193226,0.52867155389639,0.16338544773425392,30.904906180421143,False,0.0
HDC Hyundai EP,Ulsan,EPS,Polymers,Utility,80,1989,36,0,32.0,0.0,0.005130741012193226,0.52867155389639,0.16338544773425392,30.904906180421143,False,0.0
BASF Korea,Ulsan,EPS,Polymers,Utility,85,1982,43,0,34.0,0.0,0.005130741012193226,0.5617135260149143,0.17359703821764477,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,ABS,Other,Utility,757,1989,36,0,302.8,0.0,0.005130741012193226,5.002554578744591,1.546034799185378,30.904906180421143,False,0.0
LG Chem,Yeosu,ABS,Other,Utility,1030,1978,47,0,412.0,0.0,0.005130741012193226,6.8066462564160215,2.1035876395785196,30.904906180421143,False,0.0
Kumho Petrochemical,Ulsan,ABS,Other,Utility,290,1973,52,0,116.0,0.0,0.005130741012193226,1.916434382874414,0.5922722480366706,30.904906180421143,False,0.0
Korea INEOS Styrolution,Ulsan,ABS,Other,Utility,276,1990,35,0,110.4,0.0,0.005130741012193226,1.8239168609425456,0.5636797946831761,30.904906180421143,False,0.0
LG Chem,Daesan,PVC,Polymers,Utility,240,1998,27,3,96.0,9.600000000000001,0.005187162242504757,1.6034555924030705,0.495546446476885,30.904906180421143,False,0.0
LG Chem,Yeosu,PVC,Polymers,Utility,450,1976,49,0,180.0,0.0,0.005187162242504757,3.0064792357557573,0.9291495871441593,30.904906180421143,False,0.0
