year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,re_ef_tco2_per_mwh,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2047,RE_PPA,True,-25.02943888740074,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.005
2048,Heat_Pump,True,1.7174854817474843,23.4,14.04,261.9895084485215,299.4295084485215,191.37809613147607,2.8999038433144344,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2048,NCC-H2,True,16196.414304132702,35.896,35.896,0.2570098476540654,72.04900984765406,,2.8999038433144344,,,Energy-based,0.2,2256.6480388079895,7177.2,579.9807686628869,,,,,
2048,NCC-Electricity,True,16194.440574132703,39.28,39.28,0.466491803713087,79.02649180371309,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2048,RE_PPA,True,-66.74517036640196,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.002
2049,Heat_Pump,True,1.7174854817474843,22.95,13.77,261.9895084485215,298.70950844852155,191.37809613147607,2.7630319070399247,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2049,NCC-H2,True,16196.414304132702,35.208,35.208000000000006,0.24487929526656874,70.66087929526657,,2.7630319070399247,,,Energy-based,0.2,2256.6480388079895,7177.2,552.6063814079849,,,,,
2049,NCC-Electricity,True,16194.440574132703,38.44,38.44,0.466491803713087,77.34649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2049,RE_PPA,True,-136.2713894980707,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.001
2050,Heat_Pump,True,1.7174854817474843,22.5,13.5,261.9895084485215,297.9895084485215,191.37809613147607,2.626159970765414,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2050,NCC-H2,True,16196.414304132702,34.52,34.52,0.232748742879072,69.27274874287907,,2.626159970765414,,,Energy-based,0.2,2256.6480388079895,7177.2,525.2319941530828,,,,,
2050,NCC-Electricity,True,16194.440574132703,37.6,37.6,0.466491803713087,75.66649180371309,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2050,RE_PPA,True,-inf,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.0
